TÍTULO,VINÍCULA,NOME DO PROVADOR,PONTOS,PREÇO,PAÍS
Gorman 2006 Zachary's Ladder Red (Columbia Valley (WA)),Gorman,Paul Gregutt,90,29.0,US
Napa Cellars 2015 Classic Sauvignon Blanc (Napa Valley),Napa Cellars,Virginie Boone,87,18.0,US
Gloria Ferrer 2014 José S Ferrer Selection Reserve Estate Pinot Noir (Carneros),Gloria Ferrer,Virginie Boone,87,55.0,US
Ideology 2014 Reserve Pinot Noir (Russian River Valley),Ideology,Virginie Boone,87,55.0,US
Mounts 2015 Estate Grown Viognier (Dry Creek Valley),Mounts,Virginie Boone,86,26.0,US
Troon 2014 Reserve Syrah (Applegate Valley),Troon,Paul Gregutt,86,50.0,US
Vercingetorix VX 2014 Auzriel Melody En Blanc White (Oregon),Vercingetorix VX,Paul Gregutt,86,11.0,US
Broadside 2015 Wild Ferment Chardonnay (Central Coast),Broadside,Matt Kettmann,86,17.0,US
Lachini 2006 La Bestia Klipsun Vineyard Cabernet Sauvignon (Red Mountain),Lachini,Paul Gregutt,92,49.0,US
Buty 2009 Conner Lee Vineyard Chardonnay (Columbia Valley (WA)),Buty,Paul Gregutt,92,35.0,US
Lachini 2006 Il Mulinello Klipsun Vineyard Red (Red Mountain),Lachini,Paul Gregutt,92,49.0,US
Potter's Vineyard 2012 Dario Estate Pinot Noir (Chehalem Mountains),Potter's Vineyard,Paul Gregutt,88,25.0,US
Thomas Fogarty 2011 Langley Hill Vineyard Estate Chardonnay (Santa Cruz Mountains),Thomas Fogarty,Matt Kettmann,88,60.0,US
Lumos 2013 Logsdon Ridge Vineyard Rudolfo Pinot Gris (Willamette Valley),Lumos,Paul Gregutt,88,18.0,US
Macchia 2011 Rebellious Petite Sirah (Lodi),Macchia,Virginie Boone,88,24.0,US
Boedecker Cellars 2011 Athena Pinot Noir (Willamette Valley),Boedecker Cellars,Paul Gregutt,88,35.0,US
Limerick Lane 2014 Rocky Knoll Estate Grown Zinfandel (Russian River Valley),Limerick Lane,Virginie Boone,96,58.0,US
Clos de la Tech 2012 Domaine Du Docteur Rodgers Pinot Noir (Santa Cruz Mountains),Clos de la Tech,Matt Kettmann,96,102.0,US
Gary Farrell 2014 Ritchie Vineyard Chardonnay (Russian River Valley),Gary Farrell,Virginie Boone,96,60.0,US
Shea 2014 Shea Vineyard Homer Pinot Noir (Willamette Valley),Shea,Paul Gregutt,95,92.0,US
Big Basin 2014 Lester Family Vineyard Pinot Noir (Santa Cruz Mountains),Big Basin,Matt Kettmann,95,48.0,US
Résonance 2015 Hyland Vineyard Chardonnay (McMinnville),Résonance,Paul Gregutt,95,50.0,US
The Eyrie Vineyards 2014 Original Vines Estate Pinot Noir (Dundee Hills),The Eyrie Vineyards,Paul Gregutt,95,80.0,US
Dragonette 2013 MJM Syrah (Santa Ynez Valley),Dragonette,Matt Kettmann,95,75.0,US
Shafer 2013 Relentless Syrah (Napa Valley),Shafer,Virginie Boone,95,87.0,US
Shea 2014 Shea Vineyard Block 7 Pinot Noir (Willamette Valley),Shea,Paul Gregutt,95,66.0,US
Shea 2014 Shea Vineyard Chardonnay (Willamette Valley),Shea,Paul Gregutt,95,35.0,US
Clos de la Tech 2012 Domaine Lois Louise Cote Sud Pinot Noir (Santa Cruz Mountains),Clos de la Tech,Matt Kettmann,95,82.0,US
Anaba 2014 Dutton Ranch Chardonnay (Sonoma Coast),Anaba,Virginie Boone,95,42.0,US
Big Basin 2014 Coast Grade Vineyard Pinot Noir (Ben Lomond Mountain),Big Basin,Matt Kettmann,95,48.0,US
Challen 2013 Bentrock Vineyard Pinot Noir (Sta. Rita Hills),Challen,Matt Kettmann,94,65.0,US
Winter's Hill 2015 Reserve Pinot Blanc (Dundee Hills),Winter's Hill,Paul Gregutt,88,29.0,US
ZD 2012 Reserve Cabernet Sauvignon (Napa Valley),ZD,Virginie Boone,88,190.0,US
Balletto 2013 Estate Grown Zinfandel (Russian River Valley),Balletto,Virginie Boone,88,24.0,US
Boyle MacDonald 2015 Dry Rosé (Tuolumne County),Boyle MacDonald,Jim Gordon,88,16.0,US
Brooks 2015 Oak Ridge Vineyard Gewürztraminer (Columbia Gorge (OR)),Brooks,Paul Gregutt,88,18.0,US
Castello di Amorosa 2015 Gioia Rosato (California),Castello di Amorosa,Jim Gordon,88,26.0,US
Charles Krug 2015 Limited Release Estate Grown Sauvignon Blanc (St. Helena),Charles Krug,Virginie Boone,88,35.0,US
Sanford 2014 La Rinconada Vineyard Estate Grown Pinot Noir (Sta. Rita Hills),Sanford,Matt Kettmann,93,70.0,US
Aberrant Cellars 2014 Chehalem Mountain Vineyard Block B3 Old Vines Pinot Noir (Chehalem Mountains),Aberrant Cellars,Paul Gregutt,93,50.0,US
Drouhin Oregon Roserock 2015 Zéphirine Pinot Noir (Eola-Amity Hills),Drouhin Oregon Roserock,Paul Gregutt,93,60.0,US
Fullerton 2015 Lux Chardonnay (Willamette Valley),Fullerton,Paul Gregutt,93,55.0,US
Fullerton 2015 Momtazi Vineyard Pinot Noir (McMinnville),Fullerton,Paul Gregutt,93,60.0,US
Cayuse 2014 The Lovers Cabernet Sauvignon-Syrah (Walla Walla Valley (OR)),Cayuse,Sean P. Sullivan,92,97.0,US
Covenant 2014 Lavan Chardonnay (Sonoma Mountain),Covenant,Virginie Boone,92,38.0,US
Domaine Drouhin 2015 Arthur Chardonnay (Dundee Hills),Domaine Drouhin,Paul Gregutt,92,35.0,US
Leoness 2013 Signature Selection Syrah (Temecula Valley),Leoness,Matt Kettmann,92,95.0,US
No Girls 2014 La Paciencia Vineyard Syrah (Walla Walla Valley (OR)),No Girls,Sean P. Sullivan,92,75.0,US
Roco 2015 Gravel Road Chardonnay (Willamette Valley),Roco,Paul Gregutt,92,40.0,US
Gamache 2012 Estate Sauvignon Blanc (Columbia Valley (WA)),Gamache,Paul Gregutt,89,25.0,US
Gamache 2010 Estate Cabernet Sauvignon (Columbia Valley (WA)),Gamache,Paul Gregutt,89,30.0,US
Milbrandt 2012 The Estates Chardonnay (Ancient Lakes),Milbrandt,Sean P. Sullivan,89,23.0,US
Concannon 2014 Captain Joe's Petite Sirah (Livermore Valley),Concannon,Jim Gordon,90,38.0,US
D.R. Stephens 2015 Silver Eagle Vineyard Pinot Noir (Sonoma Coast),D.R. Stephens,Virginie Boone,90,75.0,US
Eternal 2015 Eternal Darkness Cockburn Ranch Syrah (Walla Walla Valley (WA)),Eternal,Sean P. Sullivan,90,60.0,US
Eternal 2015 Eternal Heritage Syrah (Walla Walla Valley (WA)),Eternal,Sean P. Sullivan,90,60.0,US
Lobo Hills 2013 Stonetree Vineyard Syrah (Wahluke Slope),Lobo Hills,Sean P. Sullivan,90,30.0,US
Murrieta's Well 2015 The Whip White (Livermore Valley),Murrieta's Well,Jim Gordon,90,24.0,US
Novelty Hill 2014 Stillwater Creek Vineyard Merlot (Columbia Valley (WA)),Novelty Hill,Sean P. Sullivan,90,28.0,US
Parmeson 2016 Wildcat Mountain Vineyard Rosé of Pinot Noir (Sonoma Coast),Parmeson,Virginie Boone,90,25.0,US
Smith & Hook 2014 Proprietary Red (Central Coast),Smith & Hook,Matt Kettmann,90,25.0,US
Willamette Valley Vineyards 2013 Estate Pinot Noir (Willamette Valley),Willamette Valley Vineyards,Paul Gregutt,90,30.0,US
Soléna 2013 Guadalupe Pinot Noir (Dundee Hills),Soléna,Paul Gregutt,90,40.0,US
Ancient Peaks 2012 Renegade Margarita Vineyard Red (Paso Robles),Ancient Peaks,Matt Kettmann,90,24.0,US
Conn Creek 2012 Anthology Cabernet Sauvignon (Napa Valley),Conn Creek,Virginie Boone,90,55.0,US
Levo 2013 White Lightning White (Santa Barbara County),Levo,Matt Kettmann,90,36.0,US
Elyse 2012 Morisoli Vineyard Zinfandel (Rutherford),Elyse,Virginie Boone,90,37.0,US
Andis 2010 Reserve Petite Sirah (Sierra Foothills),Andis,Virginie Boone,89,32.0,US
Wente 2012 Louis Mel Sauvignon Blanc (San Francisco Bay-Livermore Valley),Wente,Virginie Boone,89,15.0,US
En Garde 2012 Terra Alta Vineyard Albariño (Lodi),En Garde,Virginie Boone,89,28.0,US
Latah Creek 2012 Familigia Vineyards Chardonnay (Ancient Lakes),Latah Creek,Sean P. Sullivan,85,12.0,US
Gård 2012 Lawrence Vineyards Malbec (Columbia Valley (WA)),Gård,Sean P. Sullivan,89,30.0,US
Giornata 2012 Gemellaia Red (Paso Robles),Giornata,Matt Kettmann,89,45.0,US
Peachy Canyon 2012 Clevenger Zinfandel (Paso Robles),Peachy Canyon,Matt Kettmann,89,38.0,US
Still Waters 2013 Estate Viognier (Paso Robles),Still Waters,Matt Kettmann,89,24.0,US
Coeur de Terre 2007 Estate Pinot Noir (McMinnville),Coeur de Terre,Paul Gregutt,88,34.0,US
David Hill 2007 Barrel Select Estate Pinot Noir (Willamette Valley),David Hill,Paul Gregutt,88,28.0,US
Erath 2008 Knight's Gambit Rosé Pinot Gris (Dundee Hills),Erath,Paul Gregutt,88,22.0,US
Cline 2012 Mourvèdre Rosé (Contra Costa County),Cline,Virginie Boone,87,12.0,US
Kiona 2011 Reserve Dry Riesling (Red Mountain),Kiona,Paul Gregutt,91,15.0,US
Woodward Canyon 2012 Dry White Riesling Riesling (Columbia Valley (WA)),Woodward Canyon,Paul Gregutt,91,25.0,US
Dusted Valley 2011 StoneTree Vineyard Petite Sirah (Wahluke Slope),Dusted Valley,Sean P. Sullivan,91,42.0,US
Spring Valley Vineyard 2010 Uriah Red (Walla Walla Valley (WA)),Spring Valley Vineyard,Paul Gregutt,91,50.0,US
Bergevin Lane 2010 Wild Child Merlot (Columbia Valley (WA)),Bergevin Lane,Paul Gregutt,91,28.0,US
Woodward Canyon 2011 Artist Series 20th Anniversary Cabernet Sauvignon (Washington),Woodward Canyon,Paul Gregutt,91,54.0,US
Coelho 2015 Paciência Coelho Estate Vineyard Pinot Noir (Willamette Valley),Coelho,Paul Gregutt,89,45.0,US
Talisman 2014 Jamison Valley Vineyard Destein Estate Pinot Noir (Bennett Valley),Talisman,Virginie Boone,89,55.0,US
Walnut City WineWorks 2014 La Cantera Vineyard Pinot Noir (Chehalem Mountains),Walnut City WineWorks,Paul Gregutt,89,40.0,US
Walnut City WineWorks 2014 Reserve Pinot Noir (Willamette Valley),Walnut City WineWorks,Paul Gregutt,89,30.0,US
Bernardus 2015 Sierra Mar Vineyard Chardonnay (Santa Lucia Highlands),Bernardus,Matt Kettmann,89,40.0,US
Brigadoon 2015 Lylee Pinot Noir (Willamette Valley),Brigadoon,Paul Gregutt,89,23.0,US
EOS 2014 Reserve Cabernet Sauvignon (Paso Robles),EOS,Matt Kettmann,89,40.0,US
Gnarly Head 2015 Old Vine Zin Zinfandel (Lodi),Gnarly Head,Jim Gordon,89,12.0,US
Westwood 2015 Annadel Gap Vineyard Estate Pinot Noir (Sonoma County),Westwood,Virginie Boone,90,44.0,US
Bodega de Edgar 2016 Paso Ono Vineyard Albariño (Paso Robles),Bodega de Edgar,Matt Kettmann,90,24.0,US
Briceland 2014 Ishi Pishi Ranch Cabernet Sauvignon (Humboldt County),Briceland,Jim Gordon,90,35.0,US
El Lugar 2016 Greengate Ranch & Vineyard Blanc Pinot Noir (Edna Valley),El Lugar,Matt Kettmann,90,30.0,US
En Garde 2014 Gold Ridge Pinot Noir (Green Valley),En Garde,Virginie Boone,90,55.0,US
Hess 2014 19 Block Mountain Cuvée Red (Mount Veeder),Hess,Virginie Boone,90,45.0,US
Coeur de Terre 2010 Renelle's Block Reserve Pinot Noir (Willamette Valley),Coeur de Terre,Paul Gregutt,86,58.0,US
Preston 2009 Estate Grown Sauvignon Blanc (Columbia Valley (WA)),Preston,Paul Gregutt,87,14.0,US
Concannon 2007 Heritage Petite Sirah (Livermore Valley),Concannon,Virginie Boone,87,60.0,US
Concannon 2008 Reserve Petite Sirah (Livermore Valley),Concannon,Virginie Boone,87,40.0,US
Due Vigne 2007 Musso Family Vineyard Nebbiolo (El Dorado County),Due Vigne,Virginie Boone,87,26.0,US
Dusted Valley 2008 Tall Tales Syrah (Walla Walla Valley (WA)),Dusted Valley,Paul Gregutt,93,53.0,US
Adams Bench 2006 V Reserve Cabernet Sauvignon (Washington),Adams Bench,Paul Gregutt,93,42.0,US
Adams Bench 2008 Reckoning Red (Columbia Valley (WA)),Adams Bench,Paul Gregutt,93,39.0,US
Januik 2008 Weinbau Vineyard Cabernet Franc (Wahluke Slope),Januik,Paul Gregutt,93,35.0,US
L'Ecole No. 41 2008 Seven Hills Vineyard Estate Merlot (Walla Walla Valley (WA)),L'Ecole No. 41,Paul Gregutt,93,37.0,US
Den Hoed 2007 Marie's View Red (Horse Heaven Hills),Den Hoed,Paul Gregutt,93,80.0,US
Baer 2008 Arctos Red (Columbia Valley (WA)),Baer,Paul Gregutt,93,41.0,US
J. Bookwalter 2008 Foreshadow Cabernet Sauvignon (Columbia Valley (WA)),J. Bookwalter,Paul Gregutt,93,42.0,US
Hightower 2010 Red Mountain Reserve Red (Red Mountain),Hightower,Paul Gregutt,90,55.0,US
J. Bookwalter 2011 Protagonist Red (Columbia Valley (WA)),J. Bookwalter,Paul Gregutt,90,55.0,US
Milbrandt 2013 Traditions Evergreen Vineyard Riesling (Columbia Valley (WA)),Milbrandt,Paul Gregutt,90,13.0,US
Naggiar 2013 Estate Grown Viognier (Sierra Foothills),Naggiar,Jim Gordon,90,21.0,US
Obrien & Obrien 2011 92067 Cabernet Sauvignon (South Coast),Obrien & Obrien,Matt Kettmann,89,28.0,US
R2 2011 Big Bend Chardonnay (Carneros),R2,Virginie Boone,89,24.0,US
San Simeon 2013 Sran Vineyard Estate Viognier (Paso Robles),San Simeon,Matt Kettmann,89,22.0,US
Soos Creek 2011 Artist Series #11 Red (Columbia Valley (WA)),Soos Creek,Paul Gregutt,89,30.0,US
Joseph Swan Vineyards 2012 Bastoni Vineyards Zinfandel (Sonoma County),Joseph Swan Vineyards,Virginie Boone,91,30.0,US
Laura Michael 2012 Oat Hill Estate Zinfandel (Calistoga),Laura Michael,Virginie Boone,91,45.0,US
Leoness 2013 Alessandro Vineyard Syrah (Temecula Valley),Leoness,Matt Kettmann,91,46.0,US
MacLeod 2014 Indian Springs Ranch Estate Grown Zinfandel (Sonoma Valley),MacLeod,Virginie Boone,91,30.0,US
Miner 2014 Wild Yeast Chardonnay (Napa Valley),Miner,Virginie Boone,91,50.0,US
Monte De Oro 2011 Reserve Cabernet Sauvignon (Temecula Valley),Monte De Oro,Matt Kettmann,91,80.0,US
Paetra 2016 Pinot Noir Rosé (Eola-Amity Hills),Paetra,Paul Gregutt,91,20.0,US
Duck Pond 2016 Hylo Vineyard Pinot Gris (Willamette Valley),Duck Pond,Paul Gregutt,91,24.0,US
Elk Cove 2015 Clay Court Pinot Noir (Chehalem Mountains),Elk Cove,Paul Gregutt,91,60.0,US
Hirsch 2014 West Ridge Pinot Noir (Sonoma Coast),Hirsch,Jim Gordon,91,85.0,US
Solminer 2015 deLanda Vineyard Blaufränkisch (Santa Ynez Valley),Solminer,Matt Kettmann,91,38.0,US
Cedarville Vineyard 2008 Estate Cabernet Sauvignon (El Dorado),Cedarville Vineyard,Virginie Boone,88,29.0,US
McCrea Cellars 2010 Ciel du Cheval Vineyard Viognier (Red Mountain),McCrea Cellars,Paul Gregutt,88,25.0,US
Wente 2011 Morning Fog Chardonnay (Livermore Valley),Wente,Virginie Boone,88,15.0,US
Anam Cara 2013 Nicholas Estate Reserve Chardonnay (Chehalem Mountains),Anam Cara,Paul Gregutt,89,33.0,US
Cameron Hughes 2012 Lot 525 Cabernet Sauvignon (Napa Valley),Cameron Hughes,Virginie Boone,89,29.0,US
Occasio 2013 Del Arroyo Vineyard Chardonnay (Livermore Valley),Occasio,Jim Gordon,89,25.0,US
Provincial Vineyards 2012 Reserve Rêve Estate Pinot Noir (Willamette Valley),Provincial Vineyards,Paul Gregutt,89,45.0,US
Silvan Ridge 2012 Freedom Hill Vineyard Pinot Noir (Willamette Valley),Silvan Ridge,Paul Gregutt,89,36.0,US
Walnut City WineWorks 2012 La Cantera Vineyard Reserve Pinot Noir (Chehalem Mountains),Walnut City WineWorks,Paul Gregutt,89,40.0,US
Canoe Ridge 2014 Reserve Cabernet Sauvignon (Horse Heaven Hills),Canoe Ridge,Sean P. Sullivan,88,22.0,US
Colene Clemens 2014 Dopp Creek Estate Pinot Noir (Chehalem Mountains),Colene Clemens,Paul Gregutt,88,50.0,US
Talbott 2015 Kali Hart Pinot Noir (Monterey),Talbott,Matt Kettmann,88,26.0,US
Terre Rouge 2014 Les Côtes De L'Ouest Syrah (California),Terre Rouge,Jim Gordon,88,20.0,US
King Vintners 2016 NEXT Pinot Gris (Willamette Valley),King Vintners,Paul Gregutt,88,20.0,US
Lachini 2015 Sparkling Rosé of Pinot Noir (Willamette Valley),Lachini,Paul Gregutt,88,40.0,US
Stoller 2009 JV Estate Pinot Noir (Dundee Hills),Stoller,Paul Gregutt,86,25.0,US
Borra 2010 White Fusion White (Lodi),Borra,Virginie Boone,86,17.0,US
:Nota Bene 2011 Dineen Vineyard Red (Yakima Valley),:Nota Bene,Sean P. Sullivan,86,35.0,US
Guardian 2013 Entrapment Chardonnay (Columbia Valley (WA)),Guardian,Sean P. Sullivan,86,30.0,US
Cima Collina 2013 Tondre Grapefield Chardonnay (Santa Lucia Highlands),Cima Collina,Matt Kettmann,86,38.0,US
Betz Family 2010 La Côte Rousse Syrah (Red Mountain),Betz Family,Paul Gregutt,93,55.0,US
DeLille 2008 Grand Ciel Cabernet Sauvignon (Red Mountain),DeLille,Paul Gregutt,93,140.0,US
K Vintners 2009 Cougar Hills Syrah (Walla Walla Valley (WA)),K Vintners,Paul Gregutt,93,45.0,US
K Vintners 2009 Pheasant Vineyard Syrah (Wahluke Slope),K Vintners,Paul Gregutt,93,35.0,US
Convergence Zone 2011 Squall Line Red (Red Mountain),Convergence Zone,Paul Gregutt,85,32.0,US
Rochioli 2013 Estate Grown Sauvignon Blanc (Russian River Valley),Rochioli,Virginie Boone,85,35.0,US
Wind Rose 2012 Harvest Moon Cabernet Sauvignon (Yakima Valley),Wind Rose,Paul Gregutt,85,22.0,US
Joseph Phelps 2014 Quarter Moon Vineyard Estate Grown Pinot Noir (Sonoma Coast),Joseph Phelps,Virginie Boone,94,75.0,US
Shafer 2014 One Point Five Cabernet Sauvignon (Stags Leap District),Shafer,Virginie Boone,94,90.0,US
Sweetzer Cellars 2014 Rita's Crown Vineyard Pinot Noir (Sta. Rita Hills),Sweetzer Cellars,Matt Kettmann,94,55.0,US
Rodney Strong 2014 Cooley Ranch Syrah (North Coast),Rodney Strong,Virginie Boone,94,30.0,US
Timothy Malone 2016 Medici Vineyard Riesling (Chehalem Mountains),Timothy Malone,Paul Gregutt,94,20.0,US
Patland 2014 Stagecoach Vineyard Select Barrel Reserve Cabernet Sauvignon (Napa Valley),Patland,Virginie Boone,94,175.0,US
Elyse 2013 Holbrook Mitchell Vineyard Cabernet Sauvignon (Yountville),Elyse,Virginie Boone,94,50.0,US
Joseph Swan Vineyards 2013 Great Oak Vineyard Suicide Hill Pinot Noir (Russian River Valley),Joseph Swan Vineyards,Virginie Boone,93,60.0,US
Patland 2014 Stagecoach Vineyard Cabernet Sauvignon (Napa Valley),Patland,Virginie Boone,93,125.0,US
Tendril 2014 TightRope Pinot Noir (Willamette Valley),Tendril,Paul Gregutt,93,60.0,US
Janzen 2011 Beckstoffer Missouri Hopper Cabernet Sauvignon (Napa Valley),Janzen,Virginie Boone,93,100.0,US
Lynmar 2012 Susanna's Vineyard Chardonnay (Russian River Valley),Lynmar,Virginie Boone,93,55.0,US
MacLaren 2011 Drouthy Neebors Syrah (Sonoma County),MacLaren,Virginie Boone,93,35.0,US
Kiona 2012 Old Block Cabernet Sauvignon (Red Mountain),Kiona,Paul Gregutt,93,65.0,US
Robert Biale 2012 Rocky Ridge Vineyard Zinfandel (Rockpile),Robert Biale,Virginie Boone,93,50.0,US
Brander 2011 Bouchet Red (Santa Ynez Valley),Brander,Matt Kettmann,93,35.0,US
Sparkman 2011 Kingpin Cabernet Sauvignon (Red Mountain),Sparkman,Paul Gregutt,93,62.0,US
La Follette 2012 Sangiacomo Vineyard Chardonnay (Sonoma Coast),La Follette,Virginie Boone,93,38.0,US
Lafond 2011 Lafond Vineyard Chardonnay (Sta. Rita Hills),Lafond,Matt Kettmann,93,40.0,US
Transcendence 2012 Rancho Santa Rosa Chardonnay (Sta. Rita Hills),Transcendence,Matt Kettmann,92,34.0,US
B Cellars 2011 Stagecoach Vineyard Syrah (Napa Valley),B Cellars,Virginie Boone,92,60.0,US
Tyrus Evan 2005 Del Rio Vineyard Syrah (Rogue Valley),Tyrus Evan,Paul Gregutt,88,36.0,US
I'M 2005 Oregon Pinot Noir (Willamette Valley),I'M,Paul Gregutt,88,35.0,US
Columbia Crest 2007 Stone Tree Vineyard Reserve Cabernet Sauvignon (Columbia Valley (WA)),Columbia Crest,Paul Gregutt,91,35.0,US
Guardian 2007 Conner Lee Vineyard Gun Metal Red Red (Columbia Valley (WA)),Guardian,Paul Gregutt,91,37.0,US
Seven Hills 2014 Klipsun Vineyard Cabernet Sauvignon (Red Mountain),Seven Hills,Sean P. Sullivan,89,50.0,US
Soos Creek 2014 Champoux Vineyard Red (Horse Heaven Hills),Soos Creek,Sean P. Sullivan,89,45.0,US
Swiftwater Cellars 2014 Estate Bottled Zephyr Ridge Cabernet Sauvignon (Horse Heaven Hills),Swiftwater Cellars,Sean P. Sullivan,89,42.0,US
Chalone 2014 Estate Grown Chardonnay (Chalone),Chalone,Matt Kettmann,89,30.0,US
Holly's Hill 2015 Estate Mourvèdre (El Dorado),Holly's Hill,Jim Gordon,89,28.0,US
William Church 2013 Sur La Mer Red (Columbia Valley (WA)),William Church,Sean P. Sullivan,89,38.0,US
Yamhill Valley 2014 Reserve Pinot Noir (McMinnville),Yamhill Valley,Paul Gregutt,89,40.0,US
AronHill 2014 Estate Grown Primitivo (Paso Robles),AronHill,Matt Kettmann,89,40.0,US
Sleight of Hand 2015 The Magician Evergreen Vineyard Riesling (Ancient Lakes),Sleight of Hand,Sean P. Sullivan,89,18.0,US
Sleight of Hand 2016 Magician's Assistant Blackrock Vineyard Rosé of Cabernet Franc (Yakima Valley),Sleight of Hand,Sean P. Sullivan,89,18.0,US
Fenestra 2010 Conjugation Red (Livermore Valley),Fenestra,Jim Gordon,87,39.0,US
Rubino Estates Winery 2012 Famiglia Collection Barbera (Livermore Valley),Rubino Estates Winery,Jim Gordon,87,28.0,US
Keating 2013 Beckstoffer Georges III Cabernet Sauvignon (Rutherford),Keating,Virginie Boone,91,95.0,US
August West 2014 Rosella's Vineyard Chardonnay (Santa Lucia Highlands),August West,Matt Kettmann,91,38.0,US
B Cellars 2014 Maldonado Vineyard Chardonnay (Napa Valley),B Cellars,Virginie Boone,91,49.0,US
Cairdeas 2014 Caislén an Papa Red Wine Blend Meek Vineyard Red (Washington),Cairdeas,Sean P. Sullivan,91,45.0,US
Duckhorn 2013 Toyon Vineyard Chardonnay (Napa Valley),Duckhorn,Virginie Boone,91,55.0,US
Firestone 2013 Clone 174 Syrah (Santa Ynez Valley),Firestone,Matt Kettmann,91,30.0,US
Ironstone 2013 Estate Grown Reserve Cabernet Sauvignon (Sierra Foothills),Ironstone,Jim Gordon,91,30.0,US
Lobo 2014 Howl Wulff Vineyards Custom Red (Napa Valley),Lobo,Virginie Boone,91,65.0,US
Stonestreet 2015 Estate Sauvignon Blanc (Alexander Valley),Stonestreet,Virginie Boone,91,35.0,US
Gloria Ferrer 2013 Estate Grown Chardonnay (Carneros),Gloria Ferrer,Virginie Boone,89,30.0,US
Raymond 2013 Estate Collection Chardonnay (Napa Valley),Raymond,Virginie Boone,89,38.0,US
Lone Madrone 2012 Sheep Camp Zinfandel (Paso Robles),Lone Madrone,Matt Kettmann,89,45.0,US
MaidenStoen 2013 Zabala Vineyard Riesling (Monterey County),MaidenStoen,Matt Kettmann,89,22.0,US
Laelaps 2013 Holstein Vineyard Pinot Noir (Dundee Hills),Laelaps,Paul Gregutt,89,33.0,US
Delfino 2011 Mezzo Mezzo Cabernet Sauvignon-Merlot (Umpqua Valley),Delfino,Paul Gregutt,89,25.0,US
Chehalem 2015 Ridgecrest Vineyards Sext Riesling (Ribbon Ridge),Chehalem,Paul Gregutt,90,24.0,US
La Pitchoune 2013 Pratt Vineyard Chardonnay (Russian River Valley),La Pitchoune,Virginie Boone,90,68.0,US
Dry Creek Vineyard 2014 Taylor's Vineyard Musque Clone Sauvignon Blanc (Dry Creek Valley),Dry Creek Vineyard,Virginie Boone,90,28.0,US
Dutton Estate 2014 Thomas Road Vineyard Dutton Ranch Pinot Noir (Russian River Valley),Dutton Estate,Virginie Boone,90,56.0,US
Epiphany 2013 Revelation Rodney's Vineyard Red (Santa Barbara County),Epiphany,Matt Kettmann,90,44.0,US
Cottonwood Canyon 2010 Elizabeth's Vista Estate Pinot Noir (Santa Maria Valley),Cottonwood Canyon,Matt Kettmann,92,48.0,US
Cottonwood Canyon 2012 Bistro Red (Santa Maria Valley),Cottonwood Canyon,Matt Kettmann,92,24.0,US
Hartley-Ostini 2012 Hitching Post Highliner Pinot Noir (Santa Barbara County),Hartley-Ostini,Matt Kettmann,92,44.0,US
Joyce 2012 Tondre Grapefield Syrah (Santa Lucia Highlands),Joyce,Matt Kettmann,92,32.0,US
Longoria 2012 Rita's Crown Chardonnay (Sta. Rita Hills),Longoria,Matt Kettmann,92,50.0,US
Tyee Wine Cellars 2007 Estate Pinot Noir (Willamette Valley),Tyee Wine Cellars,Paul Gregutt,84,20.0,US
Rex Hill 2008 Jacob-Hart Vineyard Pinot Noir (Chehalem Mountains),Rex Hill,Paul Gregutt,93,65.0,US
Arbor Brook 2009 Vintner's Select Pinot Noir (Chehalem Mountains),Arbor Brook,Paul Gregutt,92,65.0,US
Cebada 2016 Rosé of Pinot Noir (Santa Ynez Valley),Cebada,Matt Kettmann,86,32.0,US
Chandler Reach 2013 Brevetatta Red (Yakima Valley),Chandler Reach,Sean P. Sullivan,86,28.0,US
Cielo 2016 Estate Viognier (Saddle Rock-Malibu),Cielo,Matt Kettmann,86,100.0,US
Waterbrook 2016 Mélange Founder's White (Columbia Valley (WA)),Waterbrook,Sean P. Sullivan,86,12.0,US
ZinPhomaniac 2015 Old Vines Zinfandel (Lodi),ZinPhomaniac,Jim Gordon,86,15.0,US
Finn Hill 2016 Blondie Rosé of Sangiovese (Rattlesnake Hills),Finn Hill,Sean P. Sullivan,86,20.0,US
Naggiar 2016 Mama Mia Estate Grown White (Sierra Foothills),Naggiar,Jim Gordon,86,24.0,US
Tamber Bey 2016 Lizzy's Vineyard Sauvignon Blanc (Oakville),Tamber Bey,Virginie Boone,86,32.0,US
Rideau 2012 Château Duplantier Cuvée Red (Santa Ynez Valley),Rideau,Matt Kettmann,87,48.0,US
Longoria 2011 Blues Cuvée Red (Santa Barbara County),Longoria,Matt Kettmann,87,30.0,US
Elkhorn Ridge 2011 Le Terre Foss Pinot Noir (Willamette Valley),Elkhorn Ridge,Paul Gregutt,87,29.0,US
Gnarly Head 2012 Old Vine Zinfandel (Lodi),Gnarly Head,Virginie Boone,87,12.0,US
Springhill Cellars 2006 Mer Vin Pinot Noir (Willamette Valley),Springhill Cellars,Paul Gregutt,87,40.0,US
Columbia Crest 2007 Grand Estates Syrah (Columbia Valley (WA)),Columbia Crest,Paul Gregutt,87,12.0,US
Columbia Crest 2008 Two Vines Merlot (Washington),Columbia Crest,Paul Gregutt,87,8.0,US
Columbia Crest 2009 H3 Pinot Gris (Horse Heaven Hills),Columbia Crest,Paul Gregutt,87,15.0,US
